class,order,family,genus,species,subspecies,common_name,female_maturity_d,adult_body_mass_g,maximum_longevity_y,C,C_E,E_alpha,I,taxaname,I_m,log_bodymass,log_C_E,log_I_m,log_E_alpha,Species,Age_at_maturity_avg_y
Aves,Passeriformes,Corvidae,Aphelocoma,californica,NA,California Scrub Jay,545.202,82.75,16.3,2.909583081570997,43.08014802347391,9.91246913987843,60.192,Aphelocoma_californica,0.7273957703927493,4.415824014257172,3.763062288296071,-0.31828456113855236,2.2937934737029986,NA,NA
Aves,Passeriformes,Corvidae,Aphelocoma,woodhouseii,NA,Woodhouse's Scrub Jay,545.202,82.75,16.3,2.909583081570997,43.08014802347391,9.91246913987843,60.192,Aphelocoma_woodhouseii,0.7273957703927493,4.415824014257172,3.763062288296071,-0.31828456113855236,2.2937934737029986,NA,NA
Aves,Passeriformes,Hirundinidae,Riparia,diluta,NA,Pale Martin,365,13.4,10,7.287873134328358,65.59085820895521,9,14.5,Riparia_diluta,1.0820895522388059,2.5952547069568657,4.1834363296682096,0.07889394246966294,2.1972245773362196,NA,NA
Aves,Passeriformes,Hirundinidae,Riparia,riparia,NA,Sand Martin,365,13.4,10,7.287873134328358,65.59085820895521,9,14.5,Riparia_riparia,1.0820895522388059,2.5952547069568657,4.1834363296682096,0.07889394246966294,2.1972245773362196,NA,NA
Aves,Passeriformes,Muscicapidae,Ficedula,hypoleuca,NA,European Pied Flycatcher,365,12.775,15,6.227788649706457,87.1890410958904,14,13.6,Ficedula_hypoleuca,1.0645792563600782,2.547490136089768,4.468078647511262,0.06257965665223814,2.6390573296152584,NA,NA
Aves,Passeriformes,Muscicapidae,Ficedula,speculigera,NA,Atlas Pied Flycatcher,365,12.775,15,6.227788649706457,87.1890410958904,14,13.6,Ficedula_speculigera,1.0645792563600782,2.547490136089768,4.468078647511262,0.06257965665223814,2.6390573296152584,NA,NA
Aves,Passeriformes,Paridae,Parus,cinereus,NA,Cinereous Tit,365,18,15.417,12.183333333333332,175.64711666666665,14.417,17,Parus_cinereus,0.9444444444444444,2.8903717578961645,5.1684769633574446,-0.05715841383994864,2.668408065829767,NA,NA
Aves,Passeriformes,Paridae,Parus,major,NA,Great Tit,365,18,15.417,12.183333333333332,175.64711666666665,14.417,17,Parus_major,0.9444444444444444,2.8903717578961645,5.1684769633574446,-0.05715841383994864,2.668408065829767,NA,NA
Aves,Passeriformes,Paridae,Parus,minor,NA,Japanese Tit,365,18,15.417,12.183333333333332,175.64711666666665,14.417,17,Parus_minor,0.9444444444444444,2.8903717578961645,5.1684769633574446,-0.05715841383994864,2.668408065829767,NA,NA
Aves,Procellariiformes,Diomedeidae,Thalassarche,impavida,NA,Campbell Albatross,3871.65,3440,43.7,0.9181395348837209,30.383752660082834,3.119819715108546,3760,Thalassarche_impavida,1.0930232558139534,8.143226750367445,3.413908013570855,0.08894748601649612,1.1377752165327975,NA,NA
Aves,Procellariiformes,Diomedeidae,Thalassarche,melanophris,NA,Black-browed Albatross,3871.65,3440,43.7,0.9181395348837209,30.383752660082834,3.119819715108546,3760,Thalassarche_melanophris,1.0930232558139534,8.143226750367445,3.413908013570855,0.08894748601649612,1.1377752165327975,NA,NA
Aves,Procellariiformes,Procellariidae,Calonectris,borealis,NA,Cory's Shearwater,3049.8375,775.225,24.83333333,1.1721413367731948,19.314092678861847,1.9720162682274052,956,Calonectris_borealis,1.2331903640878454,6.6531533097985465,2.9608350200659794,0.20960460325285446,0.6790565057546335,NA,NA
Aves,Procellariiformes,Procellariidae,Calonectris,diomedea,NA,Scopoli's Shearwater,3049.8375,775.225,24.83333333,1.1721413367731948,19.314092678861847,1.9720162682274052,956,Calonectris_diomedea,1.2331903640878454,6.6531533097985465,2.9608350200659794,0.20960460325285446,0.6790565057546335,NA,NA
Aves,Procellariiformes,Procellariidae,Calonectris,edwardsii,NA,Cape Verde Shearwater,3049.8375,775.225,24.83333333,1.1721413367731948,19.314092678861847,1.9720162682274052,956,Calonectris_edwardsii,1.2331903640878454,6.6531533097985465,2.9608350200659794,0.20960460325285446,0.6790565057546335,NA,NA
Mammalia,Artiodactyla,Bovidae,Bison,bison,NA,American Bison,912,624577.07,33.5,0.2529711825635866,7.8424531953377095,12.40734649122807,158000,Bison_bison,0.2529711825635866,13.344830011661875,2.0595516929855386,-1.374479699652771,2.5182887561464695,NA,NA
Mammalia,Artiodactyla,Bovidae,Bison,bonasus,NA,European Bison,912,624577.07,33.5,0.2529711825635866,7.8424531953377095,12.40734649122807,158000,Bison_bonasus,0.2529711825635866,13.344830011661875,2.0595516929855386,-1.374479699652771,2.5182887561464695,NA,NA
Mammalia,Artiodactyla,Bovidae,Saiga,borealis,NA,Mongolian Saiga,305.5697,37992.005,12,0.6311689788417326,7.045627429624149,13.333881926120291,14500,Saiga_borealis,0.3816592464651445,10.545131021835603,1.9524072016581355,-0.9632270934269372,2.5903083090584382,NA,NA
Mammalia,Artiodactyla,Bovidae,Saiga,tatarica,NA,Steppe Saiga,305.5697,37992.005,12,0.6311689788417326,7.045627429624149,13.333881926120291,14500,Saiga_tatarica,0.3816592464651445,10.545131021835603,1.9524072016581355,-0.9632270934269372,2.5903083090584382,NA,NA
Mammalia,Carnivora,Felidae,Prionailurus,bengalensis,NA,Leopard Cat,563.67472,4150,17.3,0.6125301204819277,9.650832059257304,10.202382821070989,620,Prionailurus_bengalensis,0.1493975903614458,8.330863613224745,2.2670441353910737,-1.9011441351856067,2.3226213029166,NA,NA
Mammalia,Carnivora,Felidae,Prionailurus,iriomotensis,NA,Iriomote Cat,563.67472,4150,17.3,0.6125301204819277,9.650832059257304,10.202382821070989,620,Prionailurus_iriomotensis,0.1493975903614458,8.330863613224745,2.2670441353910737,-1.9011441351856067,2.3226213029166,NA,NA
Mammalia,Carnivora,Mustelidae,Mustela,nivalis,NA,Least Weasel,120,49.75,10,6.832553517587939,66.07921621119294,29.416666666666668,44.565,Mustela_nivalis,0.8957788944723618,3.907010463604602,4.190854267931617,-0.11006166602192112,3.3815614071452966,NA,NA
Mammalia,Carnivora,Mustelidae,Mustela,subpalmata,NA,Egyptian Weasel,120,49.75,10,6.832553517587939,66.07921621119294,29.416666666666668,44.565,Mustela_subpalmata,0.8957788944723618,3.907010463604602,4.190854267931617,-0.11006166602192112,3.3815614071452966,NA,NA
Mammalia,Carnivora,Otariidae,Zalophus,californianus,NA,California Sealion,1643.625,158597.43,35.7,0.15432154228476466,4.814356470695424,6.927903262605523,25000,Zalophus_californianus,0.15763181030108747,11.974124383764078,1.5716023853720913,-1.8474932799137402,1.9355572079128667,NA,NA
Mammalia,Carnivora,Otariidae,Zalophus,japonicus,NA,Japanese Sealion,1643.625,158597.43,35.7,0.15432154228476466,4.814356470695424,6.927903262605523,25000,Zalophus_japonicus,0.15763181030108747,11.974124383764078,1.5716023853720913,-1.8474932799137402,1.9355572079128667,NA,NA
Mammalia,Chiroptera,Emballonuridae,Taphozous,achates,NA,Indonesian Tomb Bat,152.2,25.99,20,0.7695267410542517,15.069652711527617,46.96320630749015,20,Taphozous_achates,0.7695267410542517,3.2577118486533987,2.712682967351471,-0.26197957509940784,3.849364450605785,NA,NA
Mammalia,Chiroptera,Emballonuridae,Taphozous,melanopogon,NA,Black-bearded Tomb Bat,152.2,25.99,20,0.7695267410542517,15.069652711527617,46.96320630749015,20,Taphozous_melanopogon,0.7695267410542517,3.2577118486533987,2.712682967351471,-0.26197957509940784,3.849364450605785,NA,NA
Mammalia,Chiroptera,Noctilionidae,Noctilio,albiventris,NA,Lesser Bulldog Bat,365.25,44,13.80833333,0.4772727272727273,6.112741281099003,12.79888204093087,21,Noctilio_albiventris,0.4772727272727273,3.784189633918261,1.8103753274123666,-0.7396671961948381,2.5493578265588877,NA,NA
Mammalia,Chiroptera,Noctilionidae,Noctilio,leporinus,NA,Greater Bulldog Bat,365.25,44,13.80833333,0.4772727272727273,6.112741281099003,12.79888204093087,21,Noctilio_leporinus,0.4772727272727273,3.784189633918261,1.8103753274123666,-0.7396671961948381,2.5493578265588877,NA,NA
Mammalia,Chiroptera,Phyllostomidae,Artibeus,fraterculus,NA,Fraternal Fruit-eating Bat,288.37,45.65,19.21666667,1.48039430449069,27.278651271520292,23.323207457606546,33.79,Artibeus_fraterculus,0.740197152245345,3.8210036070409776,3.306104391559517,-0.30083870631477894,3.1494488930881324,NA,NA
Mammalia,Chiroptera,Phyllostomidae,Artibeus,jamaicensis,NA,Jamaican Fruit-eating Bat,288.37,46.1,19.21666667,1.465943600867679,27.012373764531482,23.323207457606546,33.79,Artibeus_jamaicensis,0.7329718004338395,3.8308129500026027,3.2962950485978917,-0.31064804927640427,3.1494488930881324,NA,NA
Mammalia,Chiroptera,Phyllostomidae,Artibeus,lituratus,NA,Great Fruit-eating Bat,288.37,46.1,19.21666667,1.465943600867679,27.012373764531482,23.323207457606546,33.79,Artibeus_lituratus,0.7329718004338395,3.8308129500026027,3.2962950485978917,-0.31064804927640427,3.1494488930881324,NA,NA
Mammalia,Chiroptera,Phyllostomidae,Artibeus,obscurus,NA,Dark Fruit-eating Bat,288.37,45.65,19.21666667,1.48039430449069,27.278651271520292,23.323207457606546,33.79,Artibeus_obscurus,0.740197152245345,3.8210036070409776,3.306104391559517,-0.30083870631477894,3.1494488930881324,NA,NA
Mammalia,Chiroptera,Pteropodidae,Cynopterus,brachyotis,NA,Lesser Short-nosed Fruit Bat,251.71,37.4,10.1,1.470588235294118,13.838799355358583,13.645822573596599,25,Cynopterus_brachyotis,0.6684491978609626,3.6216707044204863,2.627476194645921,-0.4027948795522855,2.613433436227259,NA,NA
Mammalia,Chiroptera,Pteropodidae,Cynopterus,sphinx,NA,Greater Short-nosed Fruit Bat,251.71,37.4,10.1,1.470588235294118,13.838799355358583,13.645822573596599,25,Cynopterus_sphinx,0.6684491978609626,3.6216707044204863,2.627476194645921,-0.4027948795522855,2.613433436227259,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Lasiurus,minor,NA,Minor Red Bat,365.25,12.33,2.575,1.4777615571776157,2.3264622871046234,1.573237508555784,5.84,Lasiurus_minor,0.47364152473641524,2.512035317176253,0.8443487820291745,-0.7473045203361173,0.45313560349558335,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Lasiurus,pfeifferi,NA,Pfeiffer's Red Bat,365.25,12.33,2.575,1.4777615571776157,2.3264622871046234,1.573237508555784,5.84,Lasiurus_pfeifferi,0.47364152473641524,2.512035317176253,0.8443487820291745,-0.7473045203361173,0.45313560349558335,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,natalensis,NA,Natal Long-fingered Bat,666.44,11.185,22,1.1119803308001788,22.433243519635518,11.049096692875576,12.5,Miniopterus_natalensis,1.117568171658471,2.414573594942093,3.1105439443921887,0.11115504936616245,2.402348677371194,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,NA,Schreibers's Long-fingered Bat,666.44,11.185,22,1.1119803308001788,22.433243519635518,11.049096692875576,12.5,Miniopterus_schreibersii,1.117568171658471,2.414573594942093,3.1105439443921887,0.11115504936616245,2.402348677371194,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Myotis,blythii,NA,Lesser Mouse-eared Myotis,420.91,24.705,33,0.9350333940497876,29.777841987507387,27.616568862702238,23.1,Myotis_blythii,0.9350333940497876,3.2070056522977133,3.3937645594692025,-0.06717303476996539,3.3184159137148685,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Myotis,fimbriatus,NA,Fringed Long-footed Myotis,410.255,23.41,33,0.9867577958137549,31.453905016589328,28.35978842427271,23.1,Myotis_fimbriatus,0.9867577958137549,3.1531632815028194,3.4485231413078012,-0.013330663975071455,3.3449722412790006,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Myotis,longipes,NA,Kashmir Cave Myotis,410.255,23.41,33,0.9867577958137549,31.453905016589328,28.35978842427271,23.1,Myotis_longipes,0.9867577958137549,3.1531632815028194,3.4485231413078012,-0.013330663975071455,3.3449722412790006,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Myotis,macrodactylus,NA,Big-footed Myotis,410.255,23.41,33,0.9867577958137549,31.453905016589328,28.35978842427271,23.1,Myotis_macrodactylus,0.9867577958137549,3.1531632815028194,3.4485231413078012,-0.013330663975071455,3.3449722412790006,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Myotis,punicus,NA,Maghrebian Myotis,420.91,24.705,33,0.9350333940497876,29.777841987507387,27.616568862702238,23.1,Myotis_punicus,0.9350333940497876,3.2070056522977133,3.3937645594692025,-0.06717303476996539,3.3184159137148685,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nyctalus,furvus,NA,Japanese Noctule,414.825,19.375,22.7,1.2152077419354839,26.20412381988511,18.973482793949255,20.21,Nyctalus_furvus,1.0430967741935484,2.9639835752394106,3.2659167960868705,0.042193956176118964,2.943042361926728,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nyctalus,noctula,NA,Noctule,414.825,19.375,22.7,1.2152077419354839,26.20412381988511,18.973482793949255,20.21,Nyctalus_noctula,1.0430967741935484,2.9639835752394106,3.2659167960868705,0.042193956176118964,2.943042361926728,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nyctalus,plancyi,NA,Chinese Noctule,414.825,19.375,22.7,1.2152077419354839,26.20412381988511,18.973482793949255,20.21,Nyctalus_plancyi,1.0430967741935484,2.9639835752394106,3.2659167960868705,0.042193956176118964,2.943042361926728,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nycticeius,cubanus,NA,Cuban Evening Bat,365,6.65,24,0.7858421052631579,18.074368421052633,23,3.555,Nycticeius_cubanus,0.5345864661654135,1.8946168546677629,2.8944948253072362,-0.6262617914125587,3.1354942159291497,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nycticeius,humeralis,NA,Evening Bat,365,6.65,24,0.7858421052631579,18.074368421052633,23,3.555,Nycticeius_humeralis,0.5345864661654135,1.8946168546677629,2.8944948253072362,-0.6262617914125587,3.1354942159291497,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Plecotus,auritus,NA,Brown Long-eared Bat,351.665,9.195,30,0.7903752039151712,22.94975667612684,30.137588329802508,5.7,Plecotus_auritus,0.6199021207177814,2.2186598580562844,3.1333073341029345,-0.47819368321578,3.405773174396483,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Plecotus,austriacus,NA,Gray Long-eared Bat,351.665,8.19,30,0.8873626373626374,25.76593560891164,30.137588329802508,5.7,Plecotus_austriacus,0.695970695970696,2.102913897864978,3.249053294294241,-0.3624477230244735,3.405773174396483,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Plecotus,kolombatovici,NA,Kolombatovic's Long-eared Bat,351.665,8.19,30,0.8873626373626374,25.76593560891164,30.137588329802508,5.7,Plecotus_kolombatovici,0.695970695970696,2.102913897864978,3.249053294294241,-0.3624477230244735,3.405773174396483,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Plecotus,teneriffae,NA,Canary Long-eared Bat,351.665,9.195,30,0.7903752039151712,22.94975667612684,30.137588329802508,5.7,Plecotus_teneriffae,0.6199021207177814,2.2186598580562844,3.1333073341029345,-0.47819368321578,3.405773174396483,NA,NA
Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,fuliginosus,NA,Sooty Dunnart,182.075,16.35,2,2.9749235474006115,4.465849273176658,3.009336811753398,3.04,Sminthopsis_fuliginosus,0.18593272171253822,2.7942278973432626,1.4964594029999403,-1.682370381925132,1.1017197261638039,NA,NA
Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,murina,NA,Slender-tailed Dunnart,182.075,16.35,2,2.9749235474006115,4.465849273176658,3.009336811753398,3.04,Sminthopsis_murina,0.18593272171253822,2.7942278973432626,1.4964594029999403,-1.682370381925132,1.1017197261638039,NA,NA
Mammalia,Didelphimorphia,Didelphidae,Didelphis,aurita,NA,Big-eared Opossum,178,1149.875,7,1.0347576910533756,6.7386822784489695,13.353932584269662,95.955,Didelphis_aurita,0.08344820089140124,7.0474085197973215,1.9078643981615833,-2.4835291882271107,2.5918109170681087,NA,NA
Mammalia,Didelphimorphia,Didelphidae,Didelphis,marsupialis,NA,Common Opossum,178,1149.875,7,1.0347576910533756,6.7386822784489695,13.353932584269662,95.955,Didelphis_marsupialis,0.08344820089140124,7.0474085197973215,1.9078643981615833,-2.4835291882271107,2.5918109170681087,NA,NA
Mammalia,Diprotodontia,Macropodidae,Petrogale,herberti,NA,Herbert's Rock-wallaby,556.885,6465.8,14.4,0.16823789786260013,2.165943094286609,8.438214353053144,734.995,Petrogale_herberti,0.11367425531256767,8.774282026783187,0.7728558759744938,-2.1744183303145777,2.1327707166804064,NA,NA
Mammalia,Diprotodontia,Macropodidae,Petrogale,lateralis,NA,Black-flanked Rock-wallaby,540,5283.94,14.4,0.20586770478090213,2.659923549991053,8.733333333333333,734.995,Petrogale_lateralis,0.1390998005276366,8.572427310543683,0.9782973817757213,-1.9725636140750722,2.1671471220989416,NA,NA
Mammalia,Diprotodontia,Macropodidae,Petrogale,penicillata,NA,Brush-tailed Rock-wallaby,556.885,6465.8,14.4,0.16823789786260013,2.165943094286609,8.438214353053144,734.995,Petrogale_penicillata,0.11367425531256767,8.774282026783187,0.7728558759744938,-2.1744183303145777,2.1327707166804064,NA,NA
Mammalia,Diprotodontia,Macropodidae,Petrogale,purpureicollis,NA,Purple-necked Rock-wallaby,540,5283.94,14.4,0.20586770478090213,2.659923549991053,8.733333333333333,734.995,Petrogale_purpureicollis,0.1390998005276366,8.572427310543683,0.9782973817757213,-1.9725636140750722,2.1671471220989416,NA,NA
Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,maculatus,NA,Common Spotted Cuscus,221.76,4155.23,17,0.7335574685396477,12.024795583740168,26.980699855699857,1700,Spilocuscus_maculatus,0.40912296070253634,8.3321230607515009,2.4869708165741686,-0.893739530707193,3.2951217902393193,NA,NA
Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,papuensis,NA,Waigeou Cuscus,221.76,4155.23,17,0.7335574685396477,12.024795583740168,26.980699855699857,1700,Spilocuscus_papuensis,0.40912296070253634,8.3321230607515009,2.4869708165741686,-0.893739530707193,3.2951217902393193,NA,NA
Mammalia,Diprotodontia,Phalangeridae,Trichosurus,johnstonii,NA,Coppery Brushtail,367.955,2005,15.9,0.5346967705735661,7.962653035088478,14.77230911388621,707.635,Trichosurus_johnstonii,0.3529351620947631,7.60339933974067,2.07476224019095,-1.0414709157048605,2.692754422433862,NA,NA
Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,NA,Common Brushtail,367.955,2005,15.9,0.5346967705735661,7.962653035088478,14.77230911388621,707.635,Trichosurus_vulpecula,0.3529351620947631,7.60339933974067,2.07476224019095,-1.0414709157048605,2.692754422433862,NA,NA
Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,concolor,NA,Southern White-Breasted Hedgehog,233.026,771,14,2.1122568093385214,28.223072713608016,20.928883472230567,235,Erinaceus_concolor,0.30479896238651105,6.647688373563329,3.3401398247497953,-1.1881028594191705,3.041130189226588,NA,NA
Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,roumanicus,NA,Northern White-Breasted Hedgehog,233.026,771,14,2.1122568093385214,28.223072713608016,20.928883472230567,235,Erinaceus_roumanicus,0.30479896238651105,6.647688373563329,3.3401398247497953,-1.1881028594191705,3.041130189226588,NA,NA
Mammalia,Lagomorpha,Leporidae,Lepus,corsicanus,NA,Corsican Hare,227.66128,3673.33,12,1.6253179676206604,18.4900567925013,18.239108204961333,652.495,Lepus_corsicanus,0.17763037897493555,8.208853886597367,2.9172331169195354,-1.728050410265128,2.9035680911790624,NA,NA
Mammalia,Lagomorpha,Leporidae,Lepus,europaeus,NA,European Hare,227.66128,3673.33,12,1.6253179676206604,18.4900567925013,18.239108204961333,652.495,Lepus_europaeus,0.17763037897493555,8.208853886597367,2.9172331169195354,-1.728050410265128,2.9035680911790624,NA,NA
Mammalia,Lagomorpha,Leporidae,Lepus,tibetanus,NA,Desert Hare,227.66128,2078.555,8.9,3.8670539927978815,32.00478475006697,13.269005252012992,929.16,Lepus_tibetanus,0.4470220898653151,7.639428219733022,3.465885415061804,-0.805147267546389,2.585430883364982,NA,NA
